file_name,artist,genre
1.jpg,shitao,qing
2.jpg,shitao,qing
3.jpg,shitao,qing
4.jpg,shitao,qing
5.jpg,shitao,qing
6.jpg,zhuda,qing
7.jpg,zhuda,qing
8.jpg,zhuda,qing
9.jpg,zhuda,qing
10.jpg,zhuda,qing
11.jpg,zhuda,qing
12.jpg,huangbinhong,roc
13.jpg,huangbinhong,roc
14.jpg,huangbinhong,roc
15.jpg,fubaoshi,roc
16.jpg,fubaoshi,roc
17.jpg,linfengmian,roc
18.jpg,linfengmian,roc
19.jpg,linfengmian,roc
20.jpg,linfengmian,roc
21.jpg,yanliben,tang
22.jpg,yanliben,tang
23.jpg,yanliben,tang
24.jpg,yanliben,tang
25.jpg,yanliben,tang
26.jpg,wangwei,tang
27.jpg,wangwei,tang
28.jpg,wangwei,tang
29.jpg,wangwei,tang
30.jpg,zhoufang,tang
31.jpg,zhoufang,tang
32.jpg,zhoufang,tang
PC2A000029N000000000PAA.jpg,anon,ming
PC2A000030N000000000PAA.jpg,anon,ming
PC2A000031N000000000PAA.jpg,anon,ming
PC2A000032N000000000AA.jpg,anon,ming
PC2A000033N000000000PAA.jpg,anon,ming
PC2A000035N000000000PAA.jpg,anon,ming
PC2A000036N000000000AA.jpg,anon,ming
PC2A000037N000000000PAA.jpg,anon,ming
PC2A000038N000000000AA.jpg,anon,ming
PC2A000039N000000000AA.JPG,anon,ming
PC2A000041N000000000AA.jpg,anon,ming
PC2A000072N000000000AA.jpg,anon,ming
PC2A000073N000000000AA.jpg,anon,ming
PC2A000074N000000000AA.jpg,anon,ming
PC2A000075N000000000PAA.jpg,anon,ming
PC2A000076N000000000PAA.jpg,anon,ming
PC2A000077N000000000PAA.jpg,anon,ming
PC2A000078N000000000PAA.jpg,anon,ming
PC2A000079N000000000AA.jpg,anon,ming
PC2A000080N000000000AA.jpg,anon,ming
PC2A000081N000000000AA.jpg,anon,ming
PC2A000085N000000000AA.jpg,anon,ming
PC2A000292N000000000PAA.jpg,anon,ming
PC2A000293N000000000AA.jpg,anon,ming
PC2A000294N000000000PAA.jpg,anon,ming
PC2A000295N000000000PAA.jpg,anon,ming
PC2A000296N000000000PAA.jpg,anon,ming
PC2A000297N000000000PAA.jpg,anon,ming
PC2A000298N000000000PAA.jpg,anon,ming
PC2A000299N000000000PAA.jpg,anon,ming
PC2A000311N000000000PAA.jpg,anon,ming
PC2A000312N000000000PAA.jpg,anon,ming
PC2A000313N000000000PAA.jpg,anon,ming
PC2A000314N000000000PAA.jpg,anon,ming
PC2A000315N000000000AA.JPG,anon,ming
PC2A000316N000000000PAA.jpg,anon,ming
PC2A000317N000000000PAA.jpg,anon,ming
PC2A000318N000000000PAA.jpg,anon,ming
PC2A000319N000000000AA.JPG,anon,ming
PC2A000320N000000000AA.jpg,anon,ming
PC2A000321N000000000AA.jpg,anon,ming
PA2A000691N000000000PAA.jpg,anon,roc
PA2A000696N000000000PAA.jpg,anon,roc
PA2A000698N000000000PAA.jpg,anon,roc
PA2A000410N000000000PAA.jpg,anon,qing
PA2A000411N000000000AA.jpg,anon,qing
PA2A000432N000000000AA.jpg,anon,qing
PA2A000511N000000000AA.JPG,anon,qing
PA2A000512N000000000AA.JPG,anon,qing
PA2A000513N000000000AA.jpg,anon,qing
PA2A000514N000000000AA.JPG,anon,qing
PA2A000515N000000000AA.jpg,anon,qing
PA2A000691N000000000PAA.jpg,anon,qing
PA2A000696N000000000PAA.jpg,anon,qing
PA2A000698N000000000PAA.jpg,anon,qing
PA2A000055N000000000PAA.jpg,anon,roc
PA2A000058N000000000PAA.jpg,anon,roc
PA2A000059N000000000PAA.jpg,anon,roc
PA2A000060N000000000PAA.jpg,anon,roc
PA2A000061N000000000PAA.jpg,anon,roc
PA2A000062N000000000PAA.jpg,anon,roc
PA2A000063N000000000PAA.jpg,anon,roc
PA2A000064N000000000PAA.jpg,anon,roc
PA2A000256N000000000PAB.JPG,anon,roc
PA2A000266N000000000PAA.jpg,anon,roc
PA2A000277N000000000PAA.jpg,anon,roc
PA2A000279N000000000AA.JPG,anon,roc
